Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TileLoaderTask.java",2,2,2,1,17,1,14,1,,,,,5,0,1,13,,13,13,16,13,,0,4,3,6,,345,49,247,124,135,49,,,,155,192,115,112,,,,,,10,10,10,3,,,5,,,,"0.20",30,30,33,19
File,"TiledWmsLayer.java",1,1,1,1,7,0,5,1,,,,,2,0,0,10,,10,10,1,10,,0,0,3,7,,136,17,83,58,14,36,,,,33,45,35,11,,,,,,1,1,1,1,,,0,,,,"0.43",10,10,10,10
File,"TiledWmsLayerParam.java",1,1,1,1,4,0,4,0,,,,,1,0,0,2,,2,2,1,2,,0,0,0,2,,52,7,17,10,4,28,,,,9,12,9,3,,,,,,1,1,1,1,,,0,,,,"1.65",2,2,2,2
File,"WmsLayer.java",1,1,1,1,13,1,8,4,,,,,1,0,0,4,,4,4,1,4,,0,0,2,2,,106,13,53,36,18,40,,,,32,38,30,14,,,,,,1,1,2,1,,,1,,,,"0.75",4,4,5,4
File,"WmsLayerParam.java",1,1,2,1,11,1,7,2,,,,,1,0,0,2,,2,2,5,2,,0,0,0,2,,90,13,32,19,11,45,,,,18,22,15,7,,,,,,2,2,3,1,,,1,,,,"1.41",3,3,4,2
File,"WmsUtilities.java",2,2,2,1,19,1,13,4,,,,,1,1,0,2,,2,1,0,2,,0,1,0,1,,82,8,42,26,16,32,,,,30,35,23,15,,,,,,3,3,3,1,,,2,,,,"0.76",4,4,4,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map.image",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print.map.image.wms",1,1,1,1,14,1,9,3,,,,,3,1,0,,3,,7,6,8,,0,1,2,5,,278,34,127,81,45,117,,,,80,95,68,36,,,,,,3,3,3,1,,,2,,,,"0.92",11,11,13,8
Public Final Class,"org.mapfish.print.map.image.wms.WmsLayer",1,1,1,1,13,1,8,4,1,18,18,0,,0,0,,,,4,1,4,4,0,0,2,2,,67,9,36,19,18,22,,,,15,21,13,14,,,,,,1,1,2,1,,2,1,,0,0,"0.61",4,4,5,4
Protected Constructor,"org.mapfish.print.map.image.wms.WmsLayer.WmsLayer",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,6,3,2,7,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.17",1,1,1,1
Public Method,"org.mapfish.print.map.image.wms.WmsLayer.getParams",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Protected Method,"org.mapfish.print.map.image.wms.WmsLayer.loadImage",,,,,,,,,,,,,,,,,,,,,,,,,,,5,23,4,19,11,13,0,18,1,0,10,12,8,10,1,1,1,1,0,,,,,0,,1,0,,,"0.00",1,1,1,1
Public Method,"org.mapfish.print.map.image.wms.WmsLayer.supportsNativeRotation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,5,2,2,5,4,1,0,1,2,1,1,1,1,2,1,0,,,,,0,,0,0,,,"1.00",1,1,2,1
