Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CyclomaticComplexityRule.java",2,2,2,1,11,0,10,0,,,,,2,0,3,17,,17,17,8,17,,0,1,0,16,,273,37,221,88,128,15,,,,123,159,75,104,,,,,,7,7,8,4,,,4,,,,"0.07",36,36,40,20
Package,"net",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang.java",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang.java.rule",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"net.sourceforge.pmd.lang.java.rule.codesize",2,2,2,1,11,0,10,0,,,,,2,0,3,,1,,17,8,17,,0,1,0,16,,273,37,221,88,128,15,,,,123,159,75,104,,,,,,7,7,8,4,,,4,,,,"0.07",36,36,40,20
Public Class,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule",2,2,2,1,14,0,12,0,1,23,23,0,,0,3,,,,13,4,13,13,0,0,0,13,,248,34,199,66,128,15,,,,101,137,53,104,,,,,,7,7,8,4,,2,4,,59,59,"0.08",31,31,35,16
Public Constructor,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.CyclomaticComplexityRule",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,2,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Class,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.Entry",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,4,4,4,4,0,1,0,3,,23,4,19,9,6,0,,,,8,13,9,4,,,,,,2,2,2,1,,1,0,,68,68,"0.00",5,5,5,4
Private Constructor,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.Entry.Entry",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.Entry.bumpDecisionPoints",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.Entry.bumpDecisionPoints",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.Entry.getComplexityAverage",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,2,1,0,1,2,1,1,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,6,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,1,8,3,5,1,6,1,0,5,6,2,5,1,1,1,1,0,,,,,0,,0,0,,,"0.12",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"net.sourceforge.pmd.lang.java.rule.codesize.CyclomaticComplexityRule.visit",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,1,8,3,5,1,6,1,0,5,6,2,5,1,1,1,1,0,,,,,0,,0,0,,,"0.12",1,1,1,1
